brand_name,active_ingredient,strength
Prostate Health Bioglan,Prostate Health Bioglan,
Active Magnesium 1000,Active Magnesium,1000 Mg
Pamol (Strawberry) Oral Suspension Colour Free,Pamol,250 Mg/5 Ml
David Craig Kids Chesty Cough Bromhexine,Bromhexine Hydrochloride,1.6 Mg/Ml Oral Liquid
David Craig Chesty Cough Bromhexine,Bromhexine Hydrochloride,1.6 Mg/Ml Oral Liquid
David Craig Chesty Cough Expectorant/Mucolytic Double Action,David Craig Chesty Cough Expectorant/Mucolytic Double Action,
Kiovig,Normal Immunoglobulin (Human),30 G/300 Ml
Medix Paracetamol,Paracetamol,500 Mg
Medichoice Paracetamol,Paracetamol,500 Mg
Swisse Ultiboost Co-Enzyme Q10,Swisse Ultiboost Co-Enzyme Q10,
Zelitrex,Valaciclovir,500mg
Kalydeco,Ivacaftor,150mg
Kalydeco,Ivacaftor,150mg
Priceline Cold Sore Cream,Aciclovir,5%
Pharmacy Health Cold Sore Cream,Aciclovir,5%
Pharmacy Action Chesty Cough Relief,Bromhexine Hydrochloride,1.6 Mg/Ml
Pharmacy Action Double Action Chesty Cough Relief,Pharmacy Action Double Action Chesty Cough Relief,
Zo-Rub Osteo,Capsaicin,0.025% W/W
Zo-Rub Hp,Capsaicin,0.075% W/W
Atorvastatin-Drla 10 Mg,Atorvastatin (As Calcium),10 Mg
Atorvastatin-Drla 20 Mg,Atorvastatin (As Calcium),20 Mg
Atorvastatin-Drla 40 Mg,Atorvastatin (As Calcium),40 Mg
Atorvastatin-Drla 80 Mg,Atorvastatin (As Calcium),80 Mg
Atorvastatin-Rz 10 Mg,Atorvastatin (As Calcium),10 Mg
Atorvastatin-Rz 20 Mg,Atorvastatin (As Calcium),20 Mg
Atorvastatin-Rz 40 Mg,Atorvastatin (As Calcium),40 Mg
Atorvastatin-Rz 80 Mg,Atorvastatin (As Calcium),80 Mg
Pharmacor Atorvastatin 10,Atorvastatin (As Calcium),10 Mg
Pharmacor Atorvastatin 20,Atorvastatin (As Calcium),20 Mg
Pharmacor Atorvastatin 40,Atorvastatin (As Calcium),40 Mg
Pharmacor Atorvastatin 80,Atorvastatin,80 Mg
Istodax,Romidepsin,10 Mg
Usana Biomega,Usana Biomega,
Jakavi,Ruxolitinib,20 Mg
Jakavi,Ruxolitinib,5 Mg
Jakavi,Ruxolitinib As Phosphate,15 Mg Tablet
Tranalpha,Trandolapril,0.5 Mg Capsules
Tranalpha,Trandolapril,1 Mg Capsules
Tranalpha,Trandolapril,2 Mg Capsules
Tranalpha,Trandolapril,4 Mg Capsules
Xerol Dr 30,Duloxetine,30 Mg (As Hydrochloride)
Sevikar Hct,"Olmesartan Medoxomil 20 Mg, Amlodipine (As Besilate) 5 Mg, Hydrochlorothiazide 12.5 Mg",20/5/12.5
Sevikar Hct,"Olmesartan Medoxomil 40 Mg, Amlodipine (As Besilate) 10 Mg, Hydrochlorothiazide 25 Mg",40/10/25
Duloxetine An,Duloxetine,60 Mg (As Hydrochloride)
Depreta 60,Duloxetine,60 Mg (As Hydrochloride)
Duloxetine An,Duloxetine,30 Mg (As Hydrochloride)
Xerol Dr 60,Duloxetine,60 Mg (As Hydrochloride)
Xerol Dr 60,Duloxetine,60 Mg (As Hydrochloride)
Genistein Medix Sinus Pe Decongestion Plus Anti-Inflammatory Pain Relief,Genistein Medix Sinus Pe Decongestion Plus Anti-Inflammatory Pain Relief,
Depreta 30,Duloxetine,30 Mg (As Hydrochloride) Enteric Capsule
Sevikar Hct 40/10/12.5,"Olmesartan Medoxomil, Amlodipine (As Besilate), Hydrochlorothiazide","40 Mg, 10 Mg, 12.5 Mg Tablet"
Sevikar Hct 40/5/12.5,"Olmesartan Medoxomil, Amlodipine (As Besilate), Hydrochlorothiazide","40 Mg, 5 Mg, 12.5 Mg Tablet"
Sevikar Hct 40/5/25,"Olmesartan Medoxomil, Amlodipine (As Besilate), Hydrochlorothiazide","40 Mg, 5 Mg, 25 Mg Tablet"
Xerol Dr 30,Duloxetine,30 Mg (As Hydrochloride) Enteric Capsule
Medix Cold & Flu PE Decongestion Plus Anti-Inflammatory Pain Relief PE,Medix Cold & Flu PE Decongestion Plus Anti-Inflammatory Pain Relief PE,
Terry White Chemists Sinus Plus PE Dual Action,Terry White Chemists Sinus Plus PE Dual Action,
Jia Wei Xiao Yao San (Bupleurum & Peony Formula),Jia Wei Xiao Yao San (Bupleurum & Peony Formula),
Asartan Hct 32/25,Candesartan Cilexetil/Hydrochlorothiazide,32 Mg/25 Mg
Candesartan+Hctz Pfizer 32/12.5,Candesartan Cilexetil/Hydrochlorothiazide,32 Mg/12.5 Mg
Candesartan+Hctz Pfizer,Candesartan Cilexetil/Hydrochlorothiazide,32 Mg/25 Mg
Trust Cystitis Relief,Trust Cystitis Relief,
Bio Island Zinc For Kids,Bio Island Zinc For Kids,
Ginsana,Ginsana,
Co-Senna,Co-Senna,
Rixadone,Risperidone,1 Mg
Rixadone,Risperidone,0.5 Mg
Rixadone,Risperidone,2 Mg
Rixadone,Risperidone,4 Mg
Rixadone,Risperidone,3 Mg
Auro-Candesartan Hct 32/25,Candesartan Cilexetil/Hydrochlorothiazide,32 Mg/25 Mg
Auro-Candesartan Hct 32/12.5,Candesartan Cilexetil/Hydrochlorothiazide,32 Mg/12.5 Mg
Candesartan+Hctz Pfizer 16/12.5,Candesartan Cilexetil/Hydrochlorothiazide,16 Mg/12.5 Mg
Asartan Hct 16/12.5,Candesartan Cilexetil/Hydrochlorothiazide,16 Mg/12.5 Mg
Auro-Candesartan Hct 16/12.5,Candesartan Cilexetil/Hydrochlorothiazide,16 Mg/12.5 Mg
Rascibly,Rascibly,
Nevirapine Scp,Nevirapine,200 Mg Tablet
Cadivast 5/80,Amlodipine (As Besilate) And Atorvastatin (As Calcium),5 Mg/80 Mg Tablets
Cadivast 5/10,Amlodipine (As Besilate) And Atorvastatin (As Calcium),5 Mg/10 Mg Tablets
Cadivast 5/40,Amlodipine (As Besilate) And Atorvastatin (As Calcium),5 Mg/40 Mg Tablets
Cadivast 10/10,Amlodipine (As Besilate) And Atorvastatin (As Calcium),10 Mg/10 Mg
Cadivast 10/80,Amlodipine (As Besilate) And Atorvastatin (As Calcium),10 Mg/80 Mg
Cadivast 5/20,Amlodipine (As Besilate) And Atorvastatin (As Calcium),5 Mg/20 Mg
Cadivast 10/20,Amlodipine (As Besilate) And Atorvastatin (As Calcium),10 Mg/20 Mg
Cadivast 10/40,Amlodipine (As Besilate) And Atorvastatin (As Calcium),10 Mg/40 Mg
Vyvanse,Lisdexamfetamine Dimesilate,50 Mg
Vyvanse,Lisdexamfetamine Dimesilate,30 Mg
Vyvanse,Lisdexamfetamine Dimesilate,70 Mg
Medreich,Ibuprofen,200 Mg
Emo)Din,Emo)Din,
Duloxetine Alembic,Duloxetine (As Hydrochloride),30 Mg Enteric Capsule
Duloxetine Agh 60,Duloxetine (As Hydrochloride),60 Mg Enteric Capsule
Duloxetine Agh 30,Duloxetine (As Hydrochloride),30 Mg Enteric Capsule
Dulocym 60,Duloxetine (As Hydrochloride),60 Mg Enteric Capsule
Dytrex 30,Duloxetine (As Hydrochloride),30 Mg Enteric Capsule
Telmisartan Ranbaxy,Telmisartan,40mg
Telmisartan Ranbaxy,Telmisartan,80mg
Duloxetine Sandoz,Duloxetine (As Hydrochloride),60mg
Tixol 30,Duloxetine (As Hydrochloride),30mg
Duloxetine Alembic,Duloxetine (As Hydrochloride),60mg
Raloxifene Gh,Raloxifene Hydrochloride,60 Mg Tablets Blister
Metagenics Arthrex,Metagenics Arthrex,
Prezista,Darunavir,800 Mg Tablet Bottle
Medreich Paracetamol,Paracetamol And Codeine Phosphate,500 Mg And 10 Mg Tablets Blister Pack
Benadryl Original,Benadryl Original,
Dytrex,Duloxetine,60 Mg
Tixol,Duloxetine,60 Mg
Duloxetine Sandoz,Duloxetine,30 Mg
Dulocym,Duloxetine,30 Mg
Raloxifene Generichealth,Raloxifene Hydrochloride,60 Mg
Percutane Pain Relief Cream Mushroom 5 Complex,Percutane Pain Relief Cream Mushroom 5 Complex,
Telmisartan Ran,Telmisartan,40 Mg
Telmi Rbx,Telmisartan,40 Mg
Telmisartan Ran,Telmisartan,80 Mg
Telmi Rbx,Telmisartan,80 Mg
Healthy Care Vitamin E,Vitamin E,500 IU
Healthy Care Propolis,Propolis,2000 Mg
Healthy Care Wild Krill,Wild Krill,1000 Mg
Lumigan Pf,Bimatoprost,300 Microgram/Ml Single Dose Ampoule
Xiao Feng San,Jia Wei A.K.A. Sophora & Rehmannia Formula,
Silibinin,Silibinin,
Rossan Antiseptic Ear-Care Lotion Spray,Benzalkonium Chloride,"0.13% W/W Spray, Solution Bottle"
Coregas Pty Ltd Medical Oxygen,Oxygen,100% V/V In Bulk Containers
Nesina,Alogliptin,25 Mg
Nesina,Alogliptin,6.25 Mg
Nesina,Alogliptin,12.5 Mg
Advil,Ibuprofen,
ReishiMax Glp,ReishiMax Glp,
Bioglan Red Krill Oil Active Joints + Glucosamine,Bioglan Red Krill Oil Active Joints + Glucosamine,
Meloxicam Sandoz,Meloxicam,7.5 Mg
Meloxicam Sandoz,Meloxicam,15 Mg
Betmiga,Mirabegron,25 Mg
Betmiga,Mirabegron,50 Mg
Pharmacy Choice Oral Rehydration Salts,Oral Rehydration Salts,
Metagenics Resilian,Metagenics Resilian,
Du Huo Ji Sheng Wan,Du Huo Ji Sheng Wan,
Psora-Clear Formula,Niu Pi Xuan Te Xiao Fang,
Lung Function II Formula,Fu Zhen Ding Chuan Fang,
Metagenics Bio Q-Absorb,Metagenics Bio Q-Absorb,
Bladder Confidence,Bladder Confidence,
Sugar Balance,Sugar Balance,
Excel,Excel,
Telmisartan Sandoz,Telmisartan,80mg
Telmisartan Sandoz,Telmisartan,40mg
Liver Tonic,Liver Tonic,35g
Stop-It,Loperamide Hydrochloride,2mg
Nimenrix,"Meningococcal (Groups A, C, W-135, Y) Polysaccharide Tetanus Toxoid Conjugate Vaccine",
Breo Ellipta,Fluticasone Furoate/Vilanterol (As Trifenatate),200 Microgram/25 Microgram
Breo Ellipta,Fluticasone Furoate/Vilanterol (As Trifenatate),100 Microgram/25 Microgram
Die Da Fang,Dragon's Blood & Notoginseng,
Panadol Extra,Paracetamol & Caffeine,
Xiao Yao San,Tangkuei & Bupleurum,
Suan Zao Ren Tang,Zizyphus Combination,
Yin Qiao San,Lonicera & Forsythia,
0090 Kaiser Pharmaceutical Ba Zhen Tang Tangkuei & Ginseng Eight Combination,Ba Zhen Tang,
3520 Kaiser Pharmaceutical Dang Gui Shao Yao San Tangkuei & Peony Formula,Dang Gui Shao Yao San,
1190 Kaiser Pharmaceutical Yu Ping Feng San Astragalus & Siler Formula,Yu Ping Feng San,
Uniclar Aqueous Nasal Spray,Mometasone Furoate,0.05% 50 Microgram/Actuation Suspension
Loperacone Chewable Tablet,Loperacone,
Blooms The Chemist Loratadine,Loratadine,10mg
Apx-Quetiapine Xr,Quetiapine,300mg
Apx-Quetiapine Xr,Quetiapine,400mg
Quetiapine Xr-Wgr,Quetiapine,300mg
Quetia Xr,Quetiapine,200mg
Quetiapine Xr-Wgr,Quetiapine (As Fumarate),200mg
Quetia Xr,Quetiapine (As Fumarate),300mg
Quetiapine Xr Gxp,Quetiapine (As Fumarate),150mg
Apx-Quetiapine Xr,Quetiapine (As Fumarate),200mg
Quetiapine Xr-Wgr,Quetiapine (As Fumarate),150mg
Quetia Xr,Quetiapine,50 Mg
Quetiapine Xr Gxp,Quetiapine,50 Mg
Quetiapine Xr-Wgr,Quetiapine,50 Mg
Apx-Quetiapine Xr,Quetiapine,150 Mg
Quetia Xr,Quetiapine,150 Mg
Quetiapine Xr Gxp,Quetiapine,400mg
Ostelin Vitamin D3,Ostelin Vitamin D3,1000iu
Atomoxetine-Wgr,Atomoxetine Hydrochloride,100 Mg
Atomoxetine-Wgr,Atomoxetine Hydrochloride,10 Mg
Atomoxetine-Wgr,Atomoxetine Hydrochloride,25 Mg
Apx-Quetiapine Xr,Quetiapine (As Fumarate),50 Mg Modified Release Tablet Blister Pack
Quetiapine Xr Gxp,Quetiapine (As Fumarate),300 Mg Modified Release Tablet Blister Pack
Quetia Xr,Quetiapine (As Fumarate),400 Mg Modified Release Tablet Blister Pack
Quetiapine Xr-Wgr,Quetiapine (As Fumarate),400 Mg Modified Release Tablet Blister Pack
Quetiapine Xr Gxp,Quetiapine (As Fumarate),200 Mg Modified Release Tablet Blister Pack
Water For Injections B. Braun,Water For Injections,100 Ml
Water For Injections B. Braun,Water For Injections,1000 Ml
Water For Injections B. Braun,Water For Injections,250 Ml
Water For Injections B. Braun,Water For Injections,20 Ml
Water For Injections B. Braun,Water For Injections,10 Ml
Atomoxetine-Wgr,Atomoxetine Hydrochloride,40 Mg
Atomoxetine-Wgr,Atomoxetine Hydrochloride,60 Mg
Atomoxetine-Wgr,Atomoxetine Hydrochloride,80 Mg
Atomoxetine-Wgr,Atomoxetine Hydrochloride,18 Mg
Water For Injections B. Braun,Water For Injections,
Epirubicin Hydrochloride,Epirubicin Hydrochloride,150 Mg In 75 Ml
Intragam 10,Normal Immunoglobulin (Human),2.5g/25ml Solution For Injection Vial
Intragam 10,Normal Immunoglobulin (Human),5g/50ml Solution For Injection Vial
Intragam 10,Normal Immunoglobulin (Human),10g/100ml Solution For Injection Vial
Intragam 10,Normal Immunoglobulin (Human),20g/200ml Solution For Injection Vial
Oxycontin,Oxycodone Hydrochloride,30 Mg
Oxycontin,Oxycodone Hydrochloride,15 Mg
Oxycontin,Oxycodone Hydrochloride,80 Mg
Oxycontin,Oxycodone Hydrochloride,10 Mg
Oxycontin,Oxycodone Hydrochloride,60 Mg
Water For Injections,Water For Injections,10 Ml Ampoule
Sodium Chloride For Injection,Sodium Chloride,0.9% W/V 10 Ml Ampoule
Alfentanil Gh,Alfentanil (As Hydrochloride),5 Mg/10 Ml Injection Ampoule
Alfentanil Gh,Alfentanil (As Hydrochloride),1 Mg/2 Ml Injection Ampoule
Oxycontin,Oxycodone Hydrochloride,40 Mg Modified Release Tablet Blister Pack
Oxycontin,Oxycodone Hydrochloride,20mg
Firmagon,Degarelix (As Acetate),120mg
Firmagon,Degarelix (As Acetate),80mg
Ostelin Calcium & Vitamin D3,Calcium & Vitamin D3,
Blossom Omega 3 Kids Fish Oil,Blossom Omega 3 Kids Fish Oil,
Revolade,Eltrombopag,75 Mg
Royal Jelly,Royal Jelly,500 Mg 6% Hda
Aspecillin Vk,Phenoxymethylpenicillin,250 Mg
Aspecillin Vk,Phenoxymethylpenicillin,500 Mg
Advil Effervescent Tablets,Ibuprofen,200 Mg
Afinitor,Everolimus,2 Mg
Afinitor,Everolimus,3 Mg
Afinitor,Everolimus,5 Mg
Pharmacor Terbisil 250,Terbinafine (As Hydrochloride),250 Mg
Ostpo,Ostpo,
Shark Cartilage,Shark Cartilage,750mg
Go-Kit Composite Pack,Go-Kit Composite Pack,
Sleep Ease,Sleep Ease,
Liver Tonic,Liver Tonic,35g
Bd E-Z Scrub 747,Chlorhexidine Gluconate,40mg/mL
Sudafed Sinus + Pain Relief,Sudafed Sinus + Pain Relief,
Claratynel,Loratadine,10 Mg
Tybost,Cobicistat,150 Mg
Cipla Sleep Assist,Doxylamine Succinate,25 Mg
Stivarga,Regorafenib,40 Mg
Essential Health Paw Paw Ointment,Essential Health Paw Paw Ointment,
Prodeine,Paracetamol And Codeine Phosphate Hemihydrate,Paracetamol 500 Mg And Codeine Phosphate Hemihydrate 9.6 Mg
Blooms The Chemist Cetirizine,Cetirizine Hydrochloride,10 Mg
Apo-Drospirenone/Ee 3/20,Drospirenone And Ethinylestradiol,Drospirenone 3 Mg And Ethinylestradiol 20 Microgram
Apotex-Drospirenone/Ee 3/20,Drospirenone And Ethinylestradiol,Drospirenone 3 Mg And Ethinylestradiol 20 Microgram
Mycostatin Oral Drops,Nystatin,100000 IU/Ml
Aeroaid First Aid Spray,Aeroaid First Aid Spray,
Apx-Perindopril Arginine/ Amlodipine 5/5,Perindopril Arginine 5 Mg/ Amlodipine 5 Mg,
Apx-Perindopril Arginine/ Amlodipine 5/10,Perindopril Arginine 5 Mg/ Amlodipine 10 Mg,
Apx-Perindopril Arginine/ Amlodipine 10/5,Perindopril Arginine 10 Mg/ Amlodipine 5 Mg,
Yana,"Drospirenone, Ethinylestradiol",Drospirenone 3 Mg / Ethinylestradiol 20 Microgram
Water Park Farm Tea Tree Oil,Water Park Farm Tea Tree Oil,
Fluarix Tetra,Inactivated Split Influenza Vaccine,0.5 Ml
Just Natural Policosanol 12mg Tablets,Policosanol,12 Mg
Bonvit Easy Fibre,Psyllium Husk,
Apx-Perindopril Arginine/Amlodipine,Perindopril Arginine/Amlodipine,Perindopril Arginine 10 Mg/Amlodipine 10 Mg
Sevelon,Sevelon,Efavirenz 600 Mg
Key Sun White Zinke Spf30+,Key Sun White Zinke Spf30+,
Pharmacy Choice Doxylamine,Doxylamine Succinate,25 Mg
Zolmitrip,Zolmitriptan,2.5 Mg
Zolmitriptan Gppl,Zolmitriptan,2.5 Mg
Zolmitriptan Gxp,Zolmitriptan,2.5 Mg
Zoltrip,Zolmitriptan,2.5 Mg
Apo-Zolmitriptan,Zolmitriptan,2.5 Mg
Triptazig,Zolmitriptan,2.5 Mg
Tafinlar,Dabrafenib (As Mesilate),50 Mg
Capecitabine-Drla,Capecitabine,500 Mg
Capecitabine-Drla,Capecitabine,150 Mg
Tafinlar,Dabrafenib (As Mesilate),75 Mg
Lemtrada,Alemtuzumab,10 Mg/Ml
Liver Tonic,Liver Tonic,35 G
Apo-Ziprasidone,Ziprasidone,20 Mg
Chemists’ Own Kiddicol For Children Cold And Allergy,Chemists’ Own Kiddicol For Children Cold And Allergy,
Apo-Ziprasidone,Ziprasidone,40 Mg
Apo-Ziprasidone,Ziprasidone (As Hydrochloride),60 Mg
Apo-Ziprasidone,Ziprasidone (As Hydrochloride),80 Mg
Ziprox,Ziprasidone (As Hydrochloride),20 Mg
Ziprox,Ziprasidone (As Hydrochloride),40 Mg
Ziprox,Ziprasidone (As Hydrochloride),60 Mg
Ziprox,Ziprasidone,80 Mg
Apo-Ziprasidone Titration Pack,Ziprasidone,
Ziprox Titration Pack,Ziprasidone,
Xolair,Omalizumab,75 Mg
Xolair,Omalizumab,150 Mg
Banaban Organic Virgin Coconut Oil Capsules,Coconut Oil,
Spren,Aspirin,100 Mg
Nutrivital Odourless Fish Oil,Fish Oil,1000 Mg
Replenex Extra Strength,Replenex Extra Strength,
Listerine Coolmint Antiseptic Mouthwash,Listerine Coolmint Antiseptic Mouthwash,
Listerine Freshburst Antiseptic Mouthwash,Listerine Freshburst Antiseptic Mouthwash,
Listerine Teeth Defence Antiseptic Mouthwash,Listerine Teeth Defence Antiseptic Mouthwash,
Listerine Tartar Control Antiseptic Mouthwash,Listerine Tartar Control Antiseptic Mouthwash,
Giotrif,Afatinib,20 Mg
Giotrif,Afatinib,40 Mg
Giotrif,Afatinib,30 Mg
Giotrif,Afatinib,50 Mg
Paroxetine Tablets,Paroxetine,30 Mg
Paroxetine Tablets,Paroxetine,40 Mg
Propolis With Olive Leaf Extract Spray,Propolis With Olive Leaf Extract,
Telmisartan/Hct Sandoz,Telmisartan 40Mg / Hydrochlorothiazide 12.5Mg,
Telmisartan/Hct Sandoz,Telmisartan 80Mg / Hydrochlorothiazide 25Mg,
Telmisartan/Hct Sandoz,Telmisartan 80Mg / Hydrochlorothiazide 12.5Mg,
Amlo 5,Amlodipine 5 Mg (As Besilate),
Amlo 10,Amlodipine 10 Mg (As Besilate),
Advil 400 Double Strength Effervescent Tablets,Ibuprofen,
Little Coughs,Ivy Leaf Extract,
Metagenics Stressan,Metagenics Stressan,
Signifor,Pasireotide,600 Microgram/1 Ml (As Diaspartate)
Signifor,Pasireotide,300 Microgram/1 Ml (As Diaspartate)
Signifor,Pasireotide,900 Microgram/1 Ml
Besivance,Besifloxacin,0.6% W/V
Cardasa Low Dose Aspirin,Aspirin,100 Mg
Amoxil Paediatric Drops,Amoxicillin,100 Mg/Ml
Afonase,Mometasone Furoate,50 Microgram/Actuation
Azonaire,Mometasone Furoate,50 Microgram/Actuation
Trust Pharmadol,Paracetamol,500mg
Kadcyla,Trastuzumab Emtansine,100 Mg
Kadcyla,Trastuzumab Emtansine,160 Mg
Metagenics Menstrocare,Metagenics Menstrocare,
Apo-Candesartan Hctz 32/12.5,Candesartan Cilexetil And Hydrochlorothiazide,32/12.5 Mg
Apotex-Candesartan Hctz 32/12.5,Candesartan Cilexetil And Hydrochlorothiazide,32/12.5 Mg
Apo-Clopidogrel/Aspirin 75/75,Clopidogrel (As Hydrogen Sulfate)/Aspirin,75 Mg/75 Mg
Apo-Clopidogrel/Aspirin 75/75,Clopidogrel (As Hydrogen Sulfate)/Aspirin,75 Mg/75 Mg
Chemists’ Own Clozole Antifungal Cream (Broad Spectrum),Clotrimazole,1% W/W
Mimiva,Memantine Hydrochloride,10 Mg
Memantine Ran,Memantine Hydrochloride,10 Mg
Memantine Ranbaxy,Memantine Hydrochloride,20 Mg
Memantine Ran,Memantine Hydrochloride,20 Mg
Memantine Ranbaxy,Memantine Hydrochloride,10 Mg
Mimiva,Memantine Hydrochloride,20 Mg
Tiger Balm Neck & Shoulder Rub,Tiger Balm Neck & Shoulder Rub,
Levetiracetam Sun,Levetiracetam,500 Mg/5 Ml
Novothirteen,Catridecacog (Rys),2500 Iu
Paroxetine,Paroxetine,10 Mg
Paroxetine,Paroxetine,20 Mg
Capecitabine Sandoz,Capecitabine,150 Mg
Capecitabine Sandoz,Capecitabine,500 Mg
Aldiq,Imiquimod,50 Mg/G
Apo-Losartan,Losartan Potassium,25 Mg
Apo-Losartan,Losartan Potassium,50mg
Apo-Losartan,Losartan Potassium,100mg
Apo-Losartan,Losartan Potassium,100mg
Apo-Losartan,Losartan Potassium,25mg
Apo-Losartan,Losartan Potassium,50mg
Terry White Chemists Olmesartan,Olmesartan Medoxomil,40mg
Terry White Chemists Olmesartan,Olmesartan Medoxomil,20mg
Terry White Chemists Olmesartan,Olmesartan Medoxomil,10mg
Apotex-Olmesartan,Olmesartan Medoxomil,20mg
Chemmart Olmesartan,Olmesartan Medoxomil,20mg
Chemmart Olmesartan,Olmesartan Medoxomil,10mg
Apotex-Olmesartan,Olmesartan Medoxomil,40mg
Apotex-Olmesartan,Olmesartan Medoxomil,10mg
Chemmart Olmesartan,Olmesartan Medoxomil,40mg
Paracetamol BNM,Paracetamol,1000mg/100mL
Fentanyl Gh Solution For Injection,Fentanyl,500 Microgram/10 Ml Ampoule
Fentanyl Gh Solution For Injection,Fentanyl,100 Microgram/2 Ml Ampoule
M-M-R Ii Powder For Injection,M-M-R Ii,
Natures Family Propolis Spray With Olive Leaf Liquid,Natures Family Propolis Spray With Olive Leaf,
Galantamine Hydrobromide Extended Release Capsules,Galantamine Hydrobromide,8 Mg
Galantamine Hydrobromide Extended Release,Galantamine Hydrobromide,16 Mg
Galantamine Hydrobromide Extended Release,Galantamine Hydrobromide,24 Mg
Galantamine Hydrobromide Extended Release,Galantamine Hydrobromide,8 Mg
Galantamine Hydrobromide Extended Release,Galantamine Hydrobromide,16 Mg
Galantamine Hydrobromide Extended Release,Galantamine Hydrobromide,24 Mg
Apohealth Famciclovir Once,Famciclovir,500mg
Moov Head Lice,"Eucalyptus Oil 11% W/W, Leptospermum Petersonii 1.0% W/W",
Amcal Mucus Relief Forte,Bromhexine Hydrochloride,1.6mg/mL
Gastro-Stop Plus,Gastro-Stop Plus,
Nature's Own St John's Wort,St John's Wort,2700mg
Pritor/Amlodipine,Telmisartan/Amlodipine,40 Mg/10 Mg
Pritor/Amlodipine,Telmisartan/Amlodipine,80 Mg/5 Mg
Pritor/Amlodipine,Telmisartan/Amlodipine,80 Mg/10 Mg
Sheng Mai Yin,Sheng Mai Yin,
Bio Island Dha,Dha,
Musashi,Creatine,
Colgate Neutrafluor 5000 Gel,Sodium Fluoride,1.105% W/W
Gliclazide,Gliclazide,80 Mg
Vita Organic Algae Dha Capsules,Vita Organic Algae Dha,
Pritor/Amlodipine,Telmisartan/Amlodipine (As Besilate),40 Mg/5 Mg
Magnesium-Diasporal,Magnesium-Diasporal,
Medreich Cold & Flu + Cough Day & Night,"Paracetamol, Dextromethorphan Hydrobromide Monohydrate, Phenylephrine Hydrochloride",
Medreich,"Paracetamol, Dextromethorphan Hydrobromide Monohydrate, Phenylephrine Hydrochloride",
Isosorbide Mononitrate,Isosorbide Mononitrate,60 Mg
Fluoxetine,Fluoxetine,20 Mg
Lax-Sachets,Lax-Sachets,
Lax-Sachets Half,Lax-Sachets Half,
Kombiglyze Xr 2.5/1000,Saxagliptin (As Hydrochloride) And Metformin Hydrochloride,2.5 Mg/1000 Mg
Kombiglyze Xr 5/1000,Saxagliptin (As Hydrochloride) And Metformin Hydrochloride,5 Mg/1000 Mg
Kombiglyze Xr 5/500,Saxagliptin (As Hydrochloride) And Metformin Hydrochloride,5 Mg/500 Mg
Nebivolol,Nebivolol,5 Mg
Mirtazapine,Mirtazapine,30 Mg
Mirtazapine,Mirtazapine,45 Mg
Mirtazapine,Mirtazapine,15 Mg
Etidronate Disodium,Etidronate Disodium,400 Mg
Nesina Met,Alogliptin (As Benzoate) / Metformin Hydrochloride,12.5 Mg / 850 Mg
Nesina Met,Alogliptin (As Benzoate) / Metformin Hydrochloride,12.5 Mg / 500 Mg
Nesina Met,Alogliptin (As Benzoate) / Metformin Hydrochloride,12.5 Mg / 1000 Mg
Healthy Care Coenzyme Q10,Coenzyme Q10,150 Mg
Valsartan Hctz,Valsartan And Hydrochlorothiazide,320 Mg / 12.5 Mg
Valsartan Hctz 160/12.5 Apotex,Valsartan And Hydrochlorothiazide,160/12.5 Mg
Valsartan Hctz 320/25 Apotex,Valsartan And Hydrochlorothiazide,320/25 Mg
Curcumin,Curcumin,
Paracetamol Osteo-Tab,Paracetamol,665 Mg
Paracetamol Osteo-Tab,Paracetamol,665 Mg
Levofloxacin Tablets,Levofloxacin,250 Mg
Levofloxacin Tablets,Levofloxacin,500 Mg
Cipla Cold & Flu Assist Cold Relief Tablets,Anti-Histamine Paracetamol And Chlorphenamine Maleate,Paracetamol 500 Mg And Chlorphenamine Maleate 2 Mg
Allersoothe Elixir,Promethazine,5 Mg/5 Ml
Axagon,Esomeprazole (As Magnesium Trihydrate),20 Mg
Axagon,Esomeprazole (As Magnesium Trihydrate),40 Mg Tablet
Refexxin,Esomeprazole (As Magnesium Trihydrate),40 Mg Tablet
Refexxin,Esomeprazole (As Magnesium Trihydrate),20 Mg Tablet
Hedafen,Ibuprofen,200 Mg Sugar-Coated Tablet
Lotemax,Loteprednol Etabonate,0.5% Eye Drop Suspension
Gliolan,Aminolevulinic Acid Hydrochloride,30 Mg/Ml
Pharmacor Clavam,Amoxicillin And Clavulanic Acid,875 Mg/125 Mg
Pharmacor Clavam,Amoxicillin And Clavulanic Acid,875 Mg/125 Mg
Pharmaclav,Amoxicillin And Clavulanic Acid,875 Mg/125 Mg
Pharmacor Moxclav,Amoxicillin And Clavulanic Acid,875 Mg/125 Mg
Pharmaclav,Amoxicillin And Clavulanic Acid,875mg/125mg
Clavamox,Amoxicillin And Clavulanic Acid,875mg/125mg
Clavam,Amoxicillin And Clavulanic Acid,875mg/125mg
Alkem-Amoxiclav,Amoxicillin And Clavulanic Acid,875mg/125mg
Clavamox,Amoxicillin And Clavulanic Acid,875mg/125mg
Alkem-Amoxiclav,Amoxicillin And Clavulanic Acid,875 Mg/125 Mg
Mediherb Ganoderma & Shiitake,Ganoderma & Shiitake,
Chemists' Own Amer-Fine,Amorolfine,5% W/V
Pharmacy Action Worm Treatment,Mebendazole,100 Mg
Microguard 401,Triclosan,1% W/W
